No.,Pengkhotbah,Tema,Link,Keterangan,Tanggal,YTId
1,Pdt. Jimmy Pardede,PA Anak - Anak Domba Allah,https://www.youtube.com/watch?v=RuG-iNJmvrU,,,RuG-iNJmvrU
2,Pdt. Jimmy Pardede,PA Anak - Iman yang Sejati,https://www.youtube.com/watch?v=kVE66vinX8U,,,kVE66vinX8U
3,Pdt. Jimmy Pardede,Paskah Anak - Salib-Nya Mulia,https://www.youtube.com/watch?v=5aXVT3m5-KU,,,5aXVT3m5-KU
4,Pdt. Jimmy Pardede,PA Anak - Firman yang Berkuasa,https://www.youtube.com/watch?v=-4WD5lHzl1U,,,-4WD5lHzl1U
5,Pdt. Jimmy Pardede,PA Anak - Allah yang Sejati,https://www.youtube.com/watch?v=iB-vzWhYwdA,,,iB-vzWhYwdA
6,Pdt. Aludin Yauw,Kebaktian Paskah Sekolah Minggu,https://www.youtube.com/watch?v=C3gKHM4oppo,,,C3gKHM4oppo
7,Vik. Joshua Siwalette,Renungan Paskah Anak: Yesus Domba Paskah,https://www.youtube.com/watch?v=pgNk5CShcSA,,,pgNk5CShcSA
8,Vik. Nurita Agustina,Kebaktian Paskah Sekolah Minggu,https://www.youtube.com/watch?v=klMhy8pNpvI,,,klMhy8pNpvI
9,Vik. Grace Kamuri,Paskah Anak - Kematian yang Menghidupkan,https://www.youtube.com/watch?v=E6vfnjD66cE,,,E6vfnjD66cE
10,Pdt. Jimmy Pardede,PA Anak - Injil yang Menguduskan,https://www.youtube.com/watch?v=mA5QpXpqyhg,,,mA5QpXpqyhg
13,Pdt. Stephen Tong,"Anak Bertanya, Pak Tong Menjawab E01",https://www.youtube.com/watch?v=-IsYknLZklc,,,-IsYknLZklc
14,Pdt. Stephen Tong,"Anak Bertanya, Pak Tong Menjawab E02",https://www.youtube.com/watch?v=nI4eQ_RtOYE,,,nI4eQ_RtOYE
